Rate_Count,RiskGroup,0_0.5,0.5_4,5_9,10_14,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75+
Rate,High,0.0,0.12058885786848947,0.17719544939577275,0.19968240418430178,0.24684432143211057,0.30887482475635847,0.3151638482183588,0.3169933757433817,0.30587698309710404,0.2965598302394334,0.520594035363786,0.5215413518146769,0.5231694415016165,0.5260426057180113,0.6844241473433927,0.6854206287300283,0.6851115802931145
Rate,Low,1.0,0.8794111421315105,0.8228045506042272,0.8003175958156983,0.7531556785678895,0.6911251752436416,0.6848361517816413,0.6830066242566183,0.694123016902896,0.7034401697605666,0.479405964636214,0.47845864818532313,0.4768305584983835,0.4739573942819887,0.31557585265660726,0.3145793712699717,0.3148884197068855
Count,High,0.0,1989351.1323573084,3536206.3017302207,4118660.0515552345,5390153.326494639,6664019.748717673,6869616.94470012,7383353.916980716,6811958.412203196,6421855.43703947,10206745.833580974,10661706.09116297,10648186.925515063,11043234.515627652,12954836.38369582,10528933.397753607,16625235.499165973
Count,Low,1832997.0,14507621.867642691,16420323.698269779,16507393.948444767,16446092.673505362,14911127.251282329,14927353.055299882,15908470.083019285,15458296.587796805,15232646.562960528,9399214.166419026,9780979.90883703,9705041.074484937,9949807.484372348,5973245.61630418,4832339.6022463925,7641228.500834028
Count,Total,1832997.0,16496973.0,19956530.0,20626054.0,21836246.0,21575147.0,21796970.0,23291824.0,22270255.0,21654502.0,19605960.0,20442686.0,20353228.0,20993042.0,18928082.0,15361273.0,24266464.0
