Rate_Count,RiskGroup,0_0.5,0.5_4,5_9,10_14,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75+
Rate,High,0.0697413288821597,0.1088941369224253,0.15550519233156332,0.17482727236811904,0.15435843937255878,0.19547597033934622,0.20373834131298088,0.2059423333237508,0.19282119849032364,0.18124515938690675,0.44885894332969906,0.45003773622369075,0.45184036837043745,0.4546827473512618,0.6778884860576811,0.6792018612191041,0.679204476646694
Rate,Low,0.9302586711178403,0.8911058630775747,0.8444948076684367,0.825172727631881,0.8456415606274412,0.8045240296606537,0.7962616586870191,0.7940576666762492,0.8071788015096764,0.8187548406130932,0.551141056670301,0.5499622637763093,0.5481596316295625,0.5453172526487382,0.32211151394231885,0.3207981387808959,0.32079552335330597
Count,High,127835.64661701208,1796423.6366675533,3103344.0359206134,3605996.760537531,3370608.854315279,4217422.795039034,4440878.513448805,4796772.581926139,4294177.259785122,3924773.666434091,8800310.488564346,9199980.129771736,9196410.037047502,9545174.011820428,12831128.850955645,10433405.21229477,16481890.981185842
Count,Low,1705161.353382988,14700549.363332447,16853185.964079387,17020057.23946247,18465637.14568472,17357724.204960965,17356091.486551195,18495051.418073863,17976077.740214877,17729728.33356591,10805649.511435654,11242705.870228264,11156817.962952496,11447867.988179572,6096953.149044354,4927867.78770523,7784573.018814159
Count,Total,1832997.0,16496973.0,19956530.0,20626054.0,21836246.0,21575147.0,21796970.0,23291824.0,22270255.0,21654502.0,19605960.0,20442686.0,20353228.0,20993042.0,18928082.0,15361273.0,24266464.0
