Rate_Count,RiskGroup,0_0.5,0.5_4,5_9,10_14,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75+
Rate,High,0.0697413288821597,0.19811574943117669,0.28151834637137524,0.314575075615426,0.33092838638648747,0.4164793396654616,0.4216023452660097,0.42317996358302074,0.4138887005204824,0.40657237906583815,0.6856844312167957,0.6861994403472607,0.6872380666338687,0.6896931761493641,0.8437064371486981,0.8448529957531882,0.8445424090702361
Rate,Low,0.9302586711178403,0.8018842505688233,0.7184816536286247,0.685424924384574,0.6690716136135125,0.5835206603345384,0.5783976547339903,0.5768200364169793,0.5861112994795177,0.5934276209341618,0.3143155687832043,0.31380055965273934,0.31276193336613134,0.3103068238506359,0.15629356285130191,0.15514700424681183,0.15545759092976386
Count,High,127835.64661701208,3268310.1692408873,5618129.324910741,6488442.496697861,7226233.653518392,8985602.975745264,9189653.671692856,9856633.232102128,9217406.902209776,8804122.39562595,13443501.531059247,14027759.69239478,13987513.060478322,14478757.814016998,15969744.626278404,12978017.512632564,20494057.96617616
Count,Low,1705161.353382988,13228662.830759112,14338400.675089259,14137611.50330214,14610012.346481608,12589544.024254736,12607316.328307144,13435190.767897872,13052848.097790226,12850379.60437405,6162458.468940753,6414926.307605219,6365714.939521679,6514284.185983001,2958337.3737215963,2383255.487367436,3772406.0338238413
Count,Total,1832997.0,16496973.0,19956530.0,20626054.0,21836246.0,21575147.0,21796970.0,23291824.0,22270255.0,21654502.0,19605960.0,20442686.0,20353228.0,20993042.0,18928082.0,15361273.0,24266464.0
