StateID,StateName,StateAbbreviation,Rate_Count,RiskGroup,0_0.5,0.5_4,5_9,10_14,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75+
1,Alabama,AL,Rate,High,0.019736876638430115,0.17618250928104184,0.2722206508150845,0.30982680950000635,0.40127009779050443,0.5185657265935775,0.5237597734626861,0.5217006564421578,0.5129461110785548,0.5081182588963474,0.8196942726994882,0.8206713954299315,0.8215099797309355,0.822139929017643,0.9559282924935122,0.9560693635926946,0.9561283040081398
1,Alabama,AL,Rate,Low,0.9802631233615698,0.8238174907189582,0.7277793491849155,0.6901731904999937,0.5987299022094956,0.48143427340642253,0.4762402265373139,0.4782993435578422,0.4870538889214452,0.49188174110365257,0.18030572730051175,0.1793286045700685,0.17849002026906446,0.177860070982357,0.04407170750648781,0.043930636407305435,0.04387169599186025
1,Alabama,AL,Count,High,578.4977227107058,46475.97694453779,85094.54212089053,99093.14778962503,138389.63005589138,176687.2700621435,167466.94996695925,177928.61738288013,161883.74087194758,160362.63062594616,243716.41932464804,263958.2856118969,262617.84579044627,274914.5487242806,291070.6057813495,235607.0414782385,364656.8177373604
1,Alabama,AL,Count,Low,28732.002277289288,217318.5230554622,227499.45787910948,220740.852210375,206489.36994410865,164035.7299378565,152273.05003304075,163126.38261711987,153712.25912805242,155238.36937405384,53609.58067535196,57678.71438810312,57059.15420955372,59474.45127571938,13419.394218650474,10825.9585217615,16732.182262639588
1,Alabama,AL,Count,Total,29310.499999999996,263794.5,312594.0,319834.0,344879.0,340723.0,319740.0,341055.0,315596.0,315601.0,297326.0,321637.0,319677.0,334389.0,304490.0,246433.0,381389.0
10,Delaware,DE,Rate,High,0.021280856463228807,0.1638233698409112,0.2567552137775373,0.2933431929157898,0.37354976327490524,0.4782166828034176,0.4835457125827269,0.4848646602154105,0.47286275072298656,0.4635984879287872,0.771708782176147,0.7728918328437058,0.7767196825441732,0.7824619672123413,0.9374554746763916,0.9382083266610912,0.9371913621810574
10,Delaware,DE,Rate,Low,0.9787191435367711,0.8361766301590888,0.7432447862224627,0.7066568070842102,0.6264502367250948,0.5217833171965824,0.5164542874172731,0.5151353397845895,0.5271372492770134,0.5364015120712128,0.22829121782385298,0.22710816715629423,0.22328031745582677,0.2175380327876587,0.06254452532360844,0.06179167333890878,0.06280863781894264
10,Delaware,DE,Count,High,115.91895324085364,8031.260500743847,14941.09940014245,17805.93180998844,24482.077935274014,28765.211687308372,28869.129678326542,32930.553127850035,30638.66907034519,28707.409168014292,42326.68328479731,47111.62167098808,52722.17861173339,59076.66098649898,68503.62135650264,55437.791814077216,81680.91317089005
10,Delaware,DE,Count,Low,5331.181046759147,40992.639499256155,43250.90059985755,42894.06819001156,41056.922064725986,31385.78831269163,30833.870321673454,34986.446872149965,34155.33092965481,33215.59083198571,12521.316715202687,13843.378329011915,15155.82138826661,16424.33901350102,4570.378643497363,3651.208185922781,5474.086829109945
10,Delaware,DE,Count,Total,5447.1,49023.9,58192.0,60700.0,65539.0,60151.0,59703.0,67917.0,64794.0,61923.0,54848.0,60955.0,67878.0,75501.0,73074.0,59089.0,87155.0
11,District of Columbia,DC,Rate,High,0.0200208327536413,0.1227067376776467,0.1973323069595205,0.2273794026712329,0.2794000931289392,0.3397669015594428,0.3401382862513044,0.3481719865301487,0.3476419684332573,0.3318475633165367,0.5893121948123916,0.5890011405472881,0.5889047679659837,0.5889047679659837,0.7430850012236088,0.7430850012236087,0.7430850012236088
11,District of Columbia,DC,Rate,Low,0.9799791672463587,0.8772932623223533,0.8026676930404795,0.7726205973287671,0.7205999068710608,0.6602330984405572,0.6598617137486956,0.6518280134698513,0.6523580315667428,0.6681524366834632,0.4106878051876084,0.41099885945271186,0.4110952320340163,0.4110952320340163,0.25691499877639123,0.25691499877639135,0.25691499877639123
11,District of Columbia,DC,Count,High,77.25238526320032,4261.285962026708,7398.580184833302,7497.835803083905,10542.324313941133,16193.630295224602,24361.044199604672,26146.323500468046,21920.56431955904,16810.070167362483,21986.059364060708,20427.73755646105,18930.932671034512,18390.906998809704,20654.047609010206,17016.64652802064,28264.724191542406
