CountyID,0_0.5,0.5_4,5_9,10_14,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75+
21221,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
21231,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
21229,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
42099,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
42121,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
40061,0.023946486234747492,0.1918194268821405,0.29787676649246353,0.3395479288164295,0.43664905425337996,0.5608177633631518,0.5615760710601212,0.5589266109803317,0.5559641433851036,0.5544748420841388,0.8721132621173444,0.8721132621173444,0.8721132621173444,0.8721132621173444,0.9629351051676857,0.9629351051676857,0.9629351051676857
17097,0.017861723339032964,0.14954214672880817,0.23339423530427775,0.26664857253363283,0.3325369595742896,0.4168699256453303,0.43024763992481085,0.43861354071885816,0.422426304182744,0.40941763341052384,0.6923480810652337,0.6922414192123183,0.6922414192123183,0.6922414192123183,0.8575649722560309,0.8575649722560309,0.8575649722560309
20005,0.020413398101751964,0.16809027654056036,0.2617382013554148,0.29873123656978207,0.3717356678065706,0.4638597566340947,0.4666176327966988,0.4635830437448091,0.4590323243781196,0.4567988755732535,0.7550986461599548,0.7550986461599548,0.7550986461599548,0.7550986461599548,0.9327131936590867,0.9327131936590867,0.9327131936590867
2020,0.021002246123917885,0.16163020527637115,0.2531109087042614,0.28930847725920783,0.34950411713137014,0.4264811692246948,0.43177020167742103,0.4330400092307222,0.4234904188592921,0.41257401214981293,0.6886084080604198,0.6885143338949353,0.6885143338949353,0.6885143338949353,0.8436821445280727,0.8436821445280727,0.8436821445280727
40133,0.024927899605024027,0.20326598064217308,0.3146307816285211,0.3582713276243261,0.4565261079427912,0.5811256986735375,0.5812103946630808,0.5791632645521255,0.5763241078769019,0.5749467173253489,0.8838768606454585,0.8838768606454585,0.8838768606454585,0.8838768606454585,0.9651328529537161,0.9651328529537161,0.9651328529537161
54057,0.023357638212581574,0.18051351603702426,0.2815724602443667,0.32138564419981847,0.4165694543730313,0.5391003816103128,0.5406588689394645,0.5378906502887862,0.5338653294184075,0.5317320959820853,0.8630808503501209,0.8630808503501209,0.8630808503501209,0.8630808503501209,0.9548340597758405,0.9548340597758405,0.9548340597758405
27013,0.020609680775807267,0.15670999633193577,0.24584553776246293,0.28115668169207053,0.33649884831873966,0.4027346349938737,0.4066747588967225,0.4054224175363022,0.4009946429616794,0.3986263511092762,0.6740132837666826,0.6740132837666826,0.6740132837666826,0.6740132837666826,0.826432933847044,0.826432933847044,0.826432933847044
31019,0.018058006013088275,0.16591641129417484,0.2567766406989154,0.2926785368659827,0.35708583461921617,0.43637742589855216,0.4408443817743734,0.4386270697243571,0.433478406960578,0.4310204713465439,0.7121069138551601,0.7121069138551601,0.7121069138551601,0.7121069138551601,0.867602099141344,0.867602099141344,0.867602099141344
21083,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
51003,0.019628267405530732,0.13489772297939936,0.21419488486301153,0.24579082114050083,0.309851566365711,0.3911695907321135,0.39361126060799767,0.39240818196027394,0.38845921644002224,0.38578426308085595,0.6848676891830521,0.6848676891830521,0.6848676891830521,0.6848676891830521,0.8717257015802808,0.8717257015802808,0.8717257015802808
48211,0.01845057136119889,0.149644681318183,0.23403596848155364,0.26750859290250056,0.33806668567449605,0.42654885873965115,0.42589331956375537,0.4248313633501218,0.42307467109010954,0.42214076523886407,0.7211917588516142,0.7211917588516142,0.7211917588516142,0.7211917588516142,0.9021783431260423,0.9021783431260423,0.9021783431260423
29205,0.021198528797973192,0.18118502362344116,0.28082142178124314,0.32006521037199476,0.4183729048493924,0.5464766434024765,0.5469910392795917,0.5454741767403113,0.5424976125768877,0.5409575077986262,0.8661599759229108,0.8661599759229108,0.8661599759229108,0.8661599759229108,0.9597190746777228,0.9597190746777228,0.9597190746777228
29033,0.020805963449862575,0.1744598868617807,0.27103611979403136,0.30913123908263673,0.4001326758007927,0.5174567031875863,0.5190516458542556,0.5159930372323798,0.5134420708764851,0.5118630638282141,0.8335025607928405,0.8335025607928405,0.8335025607928405,0.8335025607928405,0.9575773730534397,0.9575773730534397,0.9575773730534397
47045,0.022376224842305035,0.17952825620269758,0.27941188218624496,0.31876887409907045,0.4107712631437702,0.5290059196252063,0.5290279732726056,0.5267334328088714,0.5242529615116797,0.5227583026502073,0.8455208982707181,0.8455208982707181,0.8455208982707181,0.8455208982707181,0.9579571624120213,0.9579571624120213,0.9579571624120213
46099,0.019039419383364807,0.16764272343532852,0.26000322217247185,0.296486703569978,0.36363736617207365,0.44990431333453995,0.46252358414727135,0.46091806275095065,0.4443068066497672,0.4343424646285517,0.7140218598376814,0.7139443546058484,0.7139443546058484,0.7139443546058484,0.8696045256985521,0.8696045256985521,0.8696045256985521
19037,0.019039419383364807,0.17494638159571954,0.2703382514163358,0.30796087985266735,0.3926404993755131,0.501582552680823,0.5053435176998254,0.5040938007550186,0.49892419016396394,0.49647225530093175,0.8045911001008171,0.8045911001008171,0.8045911001008171,0.8045911001008171,0.9585642045902231,0.9585642045902231,0.9585642045902231
36099,0.02198365949419442,0.16191638624961605,0.2543331358780537,0.29090658745361153,0.3685711590168962,0.4662918022219227,0.4670372091001225,0.4666797190580978,0.46542431199336676,0.46444308445823723,0.7810868970208305,0.7810868970208305,0.7810868970208305,0.7810868970208305,0.9559087169792531,0.9559087169792531,0.9559087169792531
27043,0.02002083275364135,0.1697322871909859,0.26374068152550184,0.3008606310805816,0.38195081721574636,0.48528983742288423,0.4892106222290067,0.48755094715577885,0.4837625494838217,0.48172518453312174,0.7899058710138902,0.7899058710138902,0.7899058710138902,0.7899058710138902,0.9595610416980279,0.9595610416980279,0.9595610416980279
31125,0.018646854035254196,0.18025438414545708,0.2775513191482982,0.31588564789333706,0.39887560094423796,0.5037210289903077,0.50935726816902,0.5059938125118302,0.5012900111877475,0.49955253903018493,0.7997268839838045,0.7997268839838045,0.7997268839838045,0.7997268839838045,0.960778805368194,0.960778805368194,0.960778805368194
39099,0.021591094146083803,0.17554209509743293,0.27318362204969404,0.31182325643905867,0.40559833863284295,0.5284473987022211,0.535096004810656,0.5321547628333066,0.5202421549726438,0.5136640159530398,0.8355495670840495,0.835524836095432,0.835524836095432,0.835524836095432,0.9566303962336542,0.9566303962336542,0.9566303962336542
28017,0.020413398101751964,0.1910400197164251,0.2941208601416312,0.3346412204389828,0.4401651697180707,0.5765102193890319,0.5772948076676694,0.5746962580660339,0.5711971972852983,0.5693308368745992,0.8856693254795714,0.8856693254795714,0.8856693254795714,0.8856693254795714,0.9644353758911839,0.9644353758911839,0.9644353758911839
