ZCTA5,StateNb,CountyNb,Population
00692,72,145,41.0
00693,72,091,332.0
00693,72,143,2164.0
00693,72,145,53599.0
00694,72,145,231.0
00698,72,059,53.0
00698,72,153,33721.0
00703,72,007,23348.0
00703,72,041,769.0
00703,72,045,1215.0
00704,72,057,397.0
00704,72,123,6468.0
00705,72,009,24364.0
00705,72,043,103.0
00707,72,095,10544.0
00714,72,015,15802.0
00715,72,075,891.0
00715,72,113,1408.0
00716,72,113,28423.0
00717,72,113,14199.0
00718,72,037,40.0
00718,72,103,23250.0
00719,72,045,102.0
00719,72,047,489.0
00719,72,105,29241.0
00719,72,135,231.0
00720,72,043,133.0
00720,72,107,20198.0
00723,72,015,41.0
00723,72,095,45.0
00723,72,109,15897.0
00725,72,007,571.0
00725,72,025,73037.0
00725,72,061,1981.0
00725,72,127,620.0
00725,72,129,560.0
00725,72,139,454.0
00727,72,025,54207.0
00728,72,113,36675.0
00729,72,029,41636.0
00729,72,087,5757.0
00730,72,113,30521.0
00731,72,001,369.0
00731,72,113,11923.0
00735,72,037,11174.0
00735,72,103,125.0
00736,72,035,41596.0
00736,72,041,4237.0
00738,72,037,74.0
00738,72,053,30632.0
00739,72,041,34964.0
00740,72,053,1492.0
00741,72,069,3526.0
00745,72,029,658.0
00745,72,119,47060.0
00751,72,035,48.0
00751,72,123,19321.0
00754,72,129,36673.0
00757,72,133,20183.0
00765,72,147,8249.0
00766,72,107,261.0
00766,72,149,22093.0
00767,72,069,397.0
00767,72,151,30249.0
00769,72,043,34065.0
00769,72,133,98.0
00771,72,069,741.0
00771,72,085,34020.0
00772,72,087,17936.0
00773,72,089,17772.0
00775,72,049,1792.0
00777,72,029,43.0
00777,72,063,41.0
00777,72,077,37012.0
00777,72,085,309.0
00777,72,129,312.0
00778,72,063,40437.0
00778,72,129,148.0
00780,72,075,1902.0
00780,72,113,13032.0
00782,72,019,399.0
00782,72,045,17566.0
00783,72,019,160.0
00783,72,047,33929.0
00783,72,135,4.0
00784,72,035,8.0
00784,72,057,36217.0
00784,72,109,88.0
00786,72,009,273.0
00791,72,069,46232.0
00791,72,085,851.0
00791,72,151,177.0
00794,72,019,28424.0
00794,72,043,367.0
