"Notes"	"County of Residence"	"County of Residence Code"	Births	Total Population	Birth Rate
	"Berrien County, MI"	"26021"	1720	154010	11.17
	"Calhoun County, MI"	"26025"	1660	134386	12.35
	"Eaton County, MI"	"26045"	1139	109160	10.43
	"Genesee County, MI"	"26049"	4819	408615	11.79
	"Ingham County, MI"	"26065"	3414	288051	11.85
	"Jackson County, MI"	"26075"	1778	158460	11.22
	"Kalamazoo County, MI"	"26077"	3163	261654	12.09
	"Kent County, MI"	"26081"	8811	642173	13.72
	"Livingston County, MI"	"26093"	1783	188624	9.45
	"Macomb County, MI"	"26099"	9416	867730	10.85
	"Monroe County, MI"	"26115"	1526	149208	10.23
	"Muskegon County, MI"	"26121"	2127	173408	12.27
	"Oakland County, MI"	"26125"	13665	1243970	10.98
	"Ottawa County, MI"	"26139"	3441	282250	12.19
	"Saginaw County, MI"	"26145"	2190	192326	11.39
	"St. Clair County, MI"	"26147"	1589	159587	9.96
	"Washtenaw County, MI"	"26161"	3692	364709	10.12
	"Wayne County, MI"	"26163"	23149	1749366	13.23
	"Unidentified Counties, MI"	"26999"	21808	2180318	10.00
	"Anoka County, MN"	"27003"	4223	345957	12.21
	"Dakota County, MN"	"27037"	5291	417486	12.67
	"Hennepin County, MN"	"27053"	16495	1232483	13.38
	"Olmsted County, MN"	"27109"	2122	153102	13.86
	"Ramsey County, MN"	"27123"	7731	540649	14.30
	"St. Louis County, MN"	"27137"	1976	199980	9.88
	"Scott County, MN"	"27139"	1893	143680	13.18
	"Stearns County, MN"	"27145"	2038	155652	13.09
	"Washington County, MN"	"27163"	2898	253117	11.45
	"Wright County, MN"	"27171"	1787	132550	13.48
	"Unidentified Counties, MN"	"27999"	23295	1945296	11.98
	"DeSoto County, MS"	"28033"	2191	175611	12.48
	"Harrison County, MS"	"28047"	2790	203234	13.73
	"Hinds County, MS"	"28049"	3123	241229	12.95
	"Jackson County, MS"	"28059"	1651	141241	11.69
	"Rankin County, MS"	"28121"	1802	150228	12.00
	"Unidentified Counties, MS"	"28999"	26371	2077183	12.70
	"Boone County, MO"	"29019"	2093	176594	11.85
	"Clay County, MO"	"29047"	2962	239085	12.39
	"Franklin County, MO"	"29071"	1248	102838	12.14
	"Greene County, MO"	"29077"	3579	288690	12.40
	"Jackson County, MO"	"29095"	9408	691801	13.60
	"Jasper County, MO"	"29097"	1669	119111	14.01
	"Jefferson County, MO"	"29099"	2633	224226	11.74
	"St. Charles County, MO"	"29183"	4487	390918	11.48
	"St. Louis County, MO"	"29189"	11692	998581	11.71
	"St. Louis city, MO"	"29510"	4317	311404	13.86
	"Unidentified Counties, MO"	"29999"	30617	2549752	12.01
	"Missoula County, MT"	"30063"	1187	116130	10.22
	"Yellowstone County, MT"	"30111"	1935	158437	12.21
	"Unidentified Counties, MT"	"30999"	9160	767953	11.93
	"Douglas County, NE"	"31055"	8832	554995	15.91
	"Lancaster County, NE"	"31109"	4019	309637	12.98
	"Sarpy County, NE"	"31153"	2464	179023	13.76
	"Unidentified Counties, NE"	"31999"	11274	863461	13.06
	"Clark County, NV"	"32003"	27388	2155664	12.71
	"Washoe County, NV"	"32031"	5387	453616	11.88
	"Unidentified Counties, NV"	"32999"	3485	330778	10.54
	"Hillsborough County, NH"	"33011"	4240	407761	10.40
	"Merrimack County, NH"	"33013"	1284	148582	8.64
	"Rockingham County, NH"	"33015"	2654	303251	8.75
	"Strafford County, NH"	"33017"	1211	127428	9.50
	"Unidentified Counties, NH"	"33999"	2878	347773	8.28
	"Atlantic County, NJ"	"34001"	2836	270991	10.47
	"Bergen County, NJ"	"34003"	9464	939151	10.08
	"Burlington County, NJ"	"34005"	4419	449284	9.84
	"Camden County, NJ"	"34007"	6226	510150	12.20
	"Cumberland County, NJ"	"34011"	1876	153797	12.20
	"Essex County, NJ"	"34013"	10442	796914	13.10
	"Gloucester County, NJ"	"34015"	2837	292330	9.70
	"Hudson County, NJ"	"34017"	10383	677983	15.31
	"Hunterdon County, NJ"	"34019"	927	124676	7.44
	"Mercer County, NJ"	"34021"	4280	371023	11.54
	"Middlesex County, NJ"	"34023"	9332	837073	11.15
	"Monmouth County, NJ"	"34025"	5960	625846	9.52
	"Morris County, NJ"	"34027"	4633	498423	9.30
	"Ocean County, NJ"	"34029"	8566	592497	14.46
	"Passaic County, NJ"	"34031"	6842	507945	13.47
	"Somerset County, NJ"	"34035"	3251	333751	9.74
	"Sussex County, NJ"	"34037"	1180	142522	8.28
	"Union County, NJ"	"34039"	6756	555630	12.16
	"Warren County, NJ"	"34041"	958	106617	8.99
	"Unidentified Counties, NJ"	"34999"	1479	157866	9.37
	"Bernalillo County, NM"	"35001"	7574	676953	11.19
	"Dona Ana County, NM"	"35013"	2839	214207	13.25
	"Sandoval County, NM"	"35043"	1464	142025	10.31
	"San Juan County, NM"	"35045"	1726	115079	15.00
	"Santa Fe County, NM"	"35049"	1290	148651	8.68
	"Unidentified Counties, NM"	"35999"	9799	784100	12.50
	"Albany County, NY"	"36001"	3045	308846	9.86
	"Bronx County, NY"	"36005"	21161	1455720	14.54
	"Broome County, NY"	"36007"	1985	195334	10.16
	"Chautauqua County, NY"	"36013"	1345	129504	10.39
	"Dutchess County, NY"	"36027"	2519	294473	8.55
	"Erie County, NY"	"36029"	9916	921046	10.77
	"Jefferson County, NY"	"36045"	1891	114006	16.59
	"Kings County, NY"	"36047"	40802	2629150	15.52
	"Monroe County, NY"	"36055"	8004	747727	10.70
	"Nassau County, NY"	"36059"	14329	1361500	10.52
	"New York County, NY"	"36061"	17587	1643734	10.70
	"Niagara County, NY"	"36063"	2139	211758	10.10
	"Oneida County, NY"	"36065"	2497	231190	10.80
	"Onondaga County, NY"	"36067"	5242	466194	11.24
	"Ontario County, NY"	"36069"	997	109828	9.08
	"Orange County, NY"	"36071"	4993	379210	13.17
	"Oswego County, NY"	"36075"	1331	118987	11.19
	"Queens County, NY"	"36081"	30377	2333054	13.02
	"Rensselaer County, NY"	"36083"	1726	160070	10.78
	"Richmond County, NY"	"36085"	5464	476015	11.48
	"Rockland County, NY"	"36087"	5440	326780	16.65
	"St. Lawrence County, NY"	"36089"	1083	110038	9.84
	"Saratoga County, NY"	"36091"	2210	227053	9.73
	"Schenectady County, NY"	"36093"	1770	154553	11.45
	"Suffolk County, NY"	"36103"	15559	1492583	10.42
	"Tompkins County, NY"	"36109"	787	104871	7.50
	"Ulster County, NY"	"36111"	1482	179225	8.27
	"Westchester County, NY"	"36119"	10280	974542	10.55
	"Unidentified Counties, NY"	"36999"	18322	1888298	9.70
	"Alamance County, NC"	"37001"	1856	159688	11.62
	"Brunswick County, NC"	"37019"	978	126953	7.70
	"Buncombe County, NC"	"37021"	2595	256088	10.13
	"Cabarrus County, NC"	"37025"	2477	201590	12.29
	"Catawba County, NC"	"37035"	1664	156459	10.64
	"Craven County, NC"	"37049"	1438	103445	13.90
	"Cumberland County, NC"	"37051"	5446	327127	16.65
	"Davidson County, NC"	"37057"	1771	164926	10.74
	"Durham County, NC"	"37063"	4346	306212	14.19
	"Forsyth County, NC"	"37067"	4496	371511	12.10
	"Gaston County, NC"	"37071"	2524	216965	11.63
